time,wind_speed,wind_angle,battery_voltage,battery_current,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,velocity_x,velocity_y,velocity_z,angular_x,angular_y,angular_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
9.02,0.800000012,41.0,24.21466064,0.159035474,-79.78139761,40.45804737,269.61657710000003,0.001816866,0.00568868,-0.25549686,0.966791511,-0.008888668,-0.005667705,0.022468747,-0.002240944,-0.000220423,-0.001880942,0.004912004,-0.126168277,-9.810616297
9.2,0.800000012,42.0,24.21966934,0.087469511,-79.78139756,40.45804736,269.6417064,0.001815039,0.005697732,-0.255501121,0.966790318,-0.005234123,-0.002713422,0.022540856,0.004963148,-0.000650856,0.000833532,0.002927581,-0.129731233,-9.809581339
9.3,0.8999999759999999,42.0,24.2121563,0.095421284,-79.78139756,40.45804736,269.6439819,0.001815039,0.005697732,-0.255501121,0.966790318,-0.005800168,-0.002506982,0.022808338,-0.002557114,-0.001873068,-0.002871317,0.008860169,-0.116350309,-9.813267424
9.5,1.0,43.0,24.2121563,0.087469511,-79.78139752,40.45804736,269.6700983,0.001815762,0.005698938,-0.255502641,0.966789901,-0.007984975,-0.003299368,0.023185137,-0.001802865,0.0004055,-0.003674948,0.006709891,-0.121311251,-9.81233187
9.6,1.100000024,44.0,24.22092056,0.071565963,-79.78139752999999,40.45804736,269.6724328,0.001815762,0.005698938,-0.255502641,0.966789901,-0.007800127,-0.002788183,0.023379759,0.001382714,-0.000190612,0.006278045,0.004838142,-0.120790886,-9.809444515
9.8,1.100000024,40.0,24.22342491,0.095421284,-79.78139750999999,40.45804735,269.69843239999994,0.001817535,0.0056974719999999,-0.255501181,0.966790318,-0.011652326,-0.004901629,0.023452825,0.000849357,-0.0001628229999999,0.002100122,0.005456598,-0.116096805,-9.810951927
9.91,1.200000048,33.0,24.21466064,0.103373058,-79.78139752999999,40.45804735,269.7007789,0.001817535,0.0056974719999999,-0.255501181,0.966790318,-0.012738919,-0.005082557,0.023243205,-0.000897511,0.001442687,-0.000217974,0.001877913,-0.129051156,-9.809085495
10.11,1.200000048,32.0,24.22092056,0.103373058,-79.78139750999999,40.45804735,269.7265472,0.001818953,0.005697238,-0.255500764,0.966790378,-0.015427286,-0.0066962609999999,0.023092485,0.002208997,0.003629441,0.003461883,0.000486147,-0.128434549,-9.809073801
10.21,1.299999952,33.0,24.22592926,0.095421284,-79.78139743,40.45804735,269.74933050000004,0.001816057,0.005714786,-0.255507648,0.966788471,-0.005230635,-0.0010802989999999,0.023201731,-0.001672178,-0.001204959,-0.002536072,0.008014571,-0.118095612,-9.813214799
10.4,1.299999952,32.0,24.22342491,0.119276606,-79.78139743999999,40.45804735,269.75398010000004,0.001816057,0.005714786,-0.255507648,0.966788471,-0.006396375,-0.0009938739999999,0.023174133,-0.0054471469999999,0.002587855,-0.004120032,0.006655736,-0.121194261,-9.811936598
10.5,1.200000048,33.0,24.21841621,0.103373058,-79.78139740000002,40.45804735,269.7765278,0.001817333,0.005715989,-0.255507857,0.966788411,-0.007160722,-0.002172908,0.023474624,-9.19e-05,8.51e-05,0.004456257,0.004228265,-0.121179013,-9.809550349
10.7,1.200000048,26.0,24.21466064,0.095421284,-79.78139737,40.45804736,269.800158,0.001817799,0.005718268,-0.255509108,0.966788054,-0.008344362,-0.002554404,0.023486691,-0.000613125,0.0001659209999999,0.001756251,0.006647858,-0.116610766,-9.810785866
10.8,1.200000048,27.0,24.22217369,0.095421284,-79.78139738,40.45804736,269.8025155,0.001817799,0.005718268,-0.255509108,0.966788054,-0.009474172,-0.002616942,0.02340336,0.001694345,0.001761253,-0.003693279,0.0049975509999999,-0.127938732,-9.810216347
11.0,1.200000048,29.0,24.21591187,0.095421284,-79.78139736,40.45804736,269.8259,0.001819007,0.0057206459999999,-0.255509645,0.966787875,-0.009888738,-0.003455993,0.022749123,7.240000000000001e-05,0.000495401,-0.001158391,0.003079826,-0.128248699,-9.808782025
11.1,1.100000024,30.0,24.22217369,0.079517737,-79.78139737,40.45804736,269.8281979,0.001819007,0.0057206459999999,-0.255509645,0.966787875,-0.01039625,-0.003071094,0.022951301,-0.001904019,-0.000896067,0.002605164,0.010477096,-0.115626086,-9.812133064
11.31,1.100000024,30.0,24.22092056,0.087469511,-79.78139736,40.45804738,269.8501248,0.001816088,0.005717617,-0.255511403,0.966787517,-0.016200247,-0.002335532,0.018750679,0.000805795,0.001714958,-0.004237688,0.006929409,-0.116892136,-9.812956352
11.41,1.0,34.0,24.21716499,0.103373058,-79.78139738,40.45804739,269.8520202,0.001816088,0.005717617,-0.255511403,0.966787517,-0.016236855,-0.00190845,0.018786728,0.004841882,0.001745746,0.0073856,0.004793049,-0.12569511,-9.808986678
11.6,1.0,33.0,24.21466064,0.071565963,-79.78139732,40.45804739,269.87610960000006,0.001816944,0.005728083,-0.255516618,0.966786087,-0.01033237,-0.00048011,0.020898619,-0.000250066,0.000486209,0.0052836119999999,0.005633938,-0.119388842,-9.809634549
11.7,1.0,33.0,24.22217369,0.087469511,-79.78139728,40.45804739,269.8970708,0.001818717,0.0057308069999999,-0.255517989,0.96678561,-0.010770871,-0.002061367,0.021339158,-0.003281821,-0.001335759,-0.00530185,0.007567793,-0.126393194,-9.810471286
